#STEP_FILE ! FILE_SIZE ! MOD_TIME

QFP33P80_900X900X160L60X37T390-LQ.step ! 984715 ! 1686068986
HDRV4W66P254_4X1_1016X254H860.step ! 147254 ! 1686577390
SOT23-5-LQ.step ! 180708 ! 1686481839
HEADER_2X1_2P54.step ! 144541 ! 1700276874
HEADER_4X1_2P54.step ! 270389 ! 1700276718
HEADER_4X1_2P54.stp ! 147197 ! 1686576663
HDRRA8W64P254_4X2_1016X254H556.step ! 389357 ! 1688650162
HDRRA8W64P254_4X2_1016X254H556-LQ.step ! 15197 ! 1688650009
RESC320X160X140L50-LQ.step ! 34425 ! 1686070898
LEDC160X80X60L30.step ! 151322 ! 1686841279
HEADER_3X1_2P54.step ! 207504 ! 1700276968
HEADER_6X1_2P54.step ! 396277 ! 1700322016
VARC160X80X90L25-LQ.step ! 34445 ! 1686070111
HEADER_RA_4X2_2P54.step ! 709630 ! 1700322229
SOT23-5.step ! 337449 ! 1689608309
CAPC100X50X56L25-LQ.step ! 34445 ! 1686068352
HEADER_4X1_2P54-LQ.step ! 15126 ! 1686577203
